Lang	Train	Dev	Tests	More Dev tests
ben	GlobalVoices_2018Q4, pmindia_v1,JoshuaIndianCorpus_training, OPUS_Tatoeba_v20190709,JoshuaIndianCorpus_dict, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	JoshuaIndianCorpus_dev, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	JoshuaIndianCorpus_test	JoshuaIndianCorpus_devtest
urd	GlobalVoices_2018Q4,JoshuaIndianCorpus_dict,JoshuaIndianCorpus_training,pmindia_v1,OPUS_Tatoeba_v20190709,JW300,OPUS_Tanzil_v1, OPUS100v1_train, neulab_tedtalksv1_train	JoshuaIndianCorpus_dev, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test	JoshuaIndianCorpus_test	JoshuaIndianCorpus_devtest
tel	JW300,OPUS_Tatoeba_v20190709,JoshuaIndianCorpus_training,pmindia_v1, OPUS100v1_train, WikiMatrix_v1	JoshuaIndianCorpus_dev, OPUS100v1_dev, OPUS100v1_test	JoshuaIndianCorpus_test	JoshuaIndianCorpus_devtest
mal	JW300,OPUS_Tatoeba_v20190709,JoshuaIndianCorpus_training,pmindia_v1, OPUS_Tanzil_v1, OPUS100v1_train, WikiMatrix_v1	JoshuaIndianCorpus_dev, OPUS100v1_dev, OPUS100v1_test	JoshuaIndianCorpus_test	JoshuaIndianCorpus_devtest
sqi	OPUS_SETIMES_v2,GlobalVoices_2018Q4,OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
kaz	news_commentary_v14,wiki_titles_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	newsdev2019_kken, newstest2019_kken, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
srp	GlobalVoices_2018Q4,OPUS_OpenSubtitles_v2018,OPUS_TildeMODEL_v2018,OPUS_Tatoeba_v20190709,OPUS_SETIMES_v2, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
heb	GlobalVoices_2018Q4,OPUS_OpenSubtitles_v2018,OPUS_Tatoeba_v20190709,JW300, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
guj	wiki_titles_v1,JW300,pmindia_v1, OPUS100v1_train	 newsdev2019_guen, OPUS100v1_dev, OPUS100v1_test	newstest2019_guen	
fas	GlobalVoices_2018Q4,OPUS_TEP_v1,OPUS_Tanzil_v1,OPUS_OpenSubtitles_v2018, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
nor	EMA2016,rapid2016,OPUS_OpenSubtitles_v2018,JW300, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
kor	GlobalVoices_2018Q4,JW300,OPUS_Tanzil_v1,OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
ind	GlobalVoices_2018Q4, JW300,OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
ukr	JW300,OPUS_OpenSubtitles_v2018,OPUS_TildeMODEL_v2018, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
mkd	GlobalVoices_2018Q4, OPUS_SETIMES_v2, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
cat	GlobalVoices_2018Q4, JW300, OPUS_OpenSubtitles_v2018, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
khm	GlobalVoices_2018Q4, JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	wikipedia_dev_kmen, OPUS100v1_dev, OPUS100v1_test	wikipedia_devtest_kmen	
epo	GlobalVoices_2018Q4, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
xho	OPUS_memat_v1,OPUS_XhosaNavy_v1, JW300, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
vie	JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_Wikipedia_v1_0, OPUS_bible_uedin_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
tha	JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
gle	OPUS_DGT_v2019, OPUS_EUbookshop_v2, OPUS_EUconst_v1,  OPUS_ParaCrawl_v5,  OPUS_Tatoeba_v20190709, paracrawl_v6, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
amh	GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
afr	JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_SPC_v1, OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
swa	GlobalVoices_2018Q4, JW300, OPUS_EUbookshop_v2, OPUS_GlobalVoices_v2017q3,  OPUS_Tanzil_v1, OPUS_wikimedia_v20190628, WikiMatrix_v1			
sin	JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
mar	JW300,   OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, pmindia_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
kur	GlobalVoices_2018Q4, OPUS_Bianet_v1,   OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
hye	JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, neulab_tedtalksv1_train	, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
eus	OPUS_EhuHac_v1,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
bos	OPUS_EUbookshop_v2, OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_SETIMES_v2, OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
tgl	JW300, OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, WikiMatrix_v1			
tgk	JW300,   OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
pan	GlobalVoices_2018Q4, JW300,   OPUS_Tatoeba_v20190709, pmindia_v1, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
ori	GlobalVoices_2018Q4, OPUS_GlobalVoices_v2017q3,   OPUS_Tatoeba_v20190709, pmindia_v1, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
nep	GlobalVoices_2018Q4, JW300,   OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
mya	GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS100v1_train, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
kat	JW300,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
kan	JW300,   OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, pmindia_v1, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
hau	JW300,   OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
bre	OPUS_GNOME_v1,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
asm	JW300,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, pmindia_v1, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
zul	JW300,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
uzb	OPUS_GNOME_v1,   OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
tat	JW300,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
som	OPUS_GNOME_v1,  OPUS_Tanzil_v1, OPUS_bible_uedin_v1, OPUS_infopankki_v1, OPUS_wikimedia_v20190628			
msa	OPUS_GNOME_v1,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tanzil_v1, OPUS100v1_train, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
mlg	GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
kin	JW300,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
glg	OPUS_GNOME_v1,  OPUS_OpenSubtitles_v2016, OPUS_OpenSubtitles_v2018,  OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
gla	OPUS_EUbookshop_v2,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
cym	JW300, OPUS_EUbookshop_v2,   OPUS_Tatoeba_v20190709, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
yor	GlobalVoices_2018Q4, JW300,  OPUS_Tatoeba_v20190709, OPUS100v1_train			
uig	OPUS_GNOME_v1,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
tuk	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
tso	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
sna	JW300,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628			
oci	OPUS_GNOME_v1,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
nno	OPUS_GNOME_v1,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
mri	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628			
mon	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, neulab_tedtalksv1_train	, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
lug	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
lat	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, WikiMatrix_v1			
lao	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
kir	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
ibo	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
bel	OPUS_EUbookshop_v2,   OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
aze	JW300,  OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train	, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test		
ast	OPUS_GNOME_v1,   OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
yid	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
wln	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train	, OPUS100v1_dev, OPUS100v1_test		
tir	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
tet	GlobalVoices_2018Q4,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
snd	 OPUS_Tanzil_v1, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
smo	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
que	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
pap	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
oss	JW300, OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
nya	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
nso	JW300,  OPUS_wikimedia_v20190628			
mai	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
ltz	  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1			
kal	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
ina	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
iku	 newsdev2020_eniu, newsdev2020_iuen, wiki_titles_v2			
ido	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1			
hat	JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
grn	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
fry	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, WikiMatrix_v1	, OPUS100v1_dev, OPUS100v1_test		
fao	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1			
ewe	JW300,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628			
div	OPUS_GNOME_v1,  OPUS_Tanzil_v1, OPUS_wikimedia_v20190628			
ceb	JW300,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, WikiMatrix_v1			
bod	OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628			
